"Datum";"Naam / Omschrijving";"Rekening";"Tegenrekening";"Code";"Af Bij";"Bedrag (EUR)";"MutatieSoort";"Mededelingen"
"20250523";"BELASTINGDIENST";"";"NL36INGB0003445588";"";"Bij";"3192";"";"TERUGGAAF"
"20250102";"Brand New Day";"";"NL70BNDA0013929458";"";"Bij";"272,68";"";"Anonieme uitkering december 2024 NL70BNDA0013929458"
"20250102";"ABP Pensio";"";"NL68RABO0018166535";"";"Bij";"685,02";"";"PENSIOEN JANUARI 2025"
"20250102";"bol.com";"";"NL27INGB0001392934";"";"Af";"44,99";"";"X9928374651 7051155493917284 bol.com A0-00-28-RL-D9"
"20250102";"KONING WILLEM >DEVENTER 2.01.2";"";"";"";"Af";"8,98";"";""
"20250102";"Jumbo Deventer >DEVENTER 2.01.";"";"";"";"Af";"34,18";"";""
"20250102";"Hotel on Booking.com";"";"NL92ADYB2031076332";"";"Bij";"63,96";"";"TX1750757450XT Refund Hotel at Booking.com"
"20250106";"GREENCHOICE";"";"NL18INGB0001901816";"";"Af";"75";"";"Johan van 01 januari 2025"
"20250107";"Jumbo Deventer >DEVENTER 7.01.";"";"";"";"Af";"14,17";"";""
"20250111";"de Vossenberg >Vierhoute11.01.";"";"";"";"Af";"18,5";"";""
"20250112";"bol.com";"";"NL27INGB0001392934";"";"Af";"18,59";"";"X9928374652 7051924590647350 bol.com A0-00-2J-9H-P3"
"20250112";"DEKAMARKT LOC 505 >TWELLO 12.0";"";"";"";"Af";"21,96";"";""
"20250113";"Jumbo Deventer >DEVENTER 13.01";"";"";"";"Af";"58,29";"";""
"20250118";"Copar via Stichting Mollie Payments";"";"NL51DEUT0016877995";"";"Af";"134,16";"";"9d7d9a16bb8f87e2ace8e6483320047a X9928374653 Order X9928374653 Copar"
"20250118";"Jumbo Deventer >DEVENTER 18.01";"";"";"";"Af";"46,33";"";""
"20250120";"bol.com";"";"NL27INGB0001392934";"";"Af";"32,95";"";"X9928374654 7051155487263080 bol.com A0-00-2R-0P-76"
"20250122";"TLS BV inz. OV-Chipkaart";"";"NL12RABO0019823445";"";"Af";"50";"";"Automatisch opladen OV-chipkaart Kaartnummer:X9928374655 Oplaaddatum/tijd:17-01-25 11:04"
"20250122";"PayPal Europe S.a.r.l. et Cie S.C.A";"";"LU89751000135104200E";"";"Af";"5";"";"1039747141910/PAYPAL"
"20250122";"PAY.nl*Riesewijk Exclu>DEVENTE";"";"";"";"Af";"27,95";"";""
"20250123";"Sociale Verzekeringsbank";"";"NL16RABO0019973114";"";"Bij";"1214,77";"";"AOW     JAN 25 VZ09443330 WWW.SVB.NL                                              SVB"
"20250123";"Jumbo Deventer >DEVENTER 23.01";"";"";"";"Af";"22,31";"";""
"20250125";"Kosten gebruik betaalrekening ";"";"";"";"Af";"3,2";"";""
"20250127";"ODIDO NETHERLANDS B.V.";"";"NL95COBA0019997218";"";"Af";"45";"";"Odido Internet + TV MFT42362 Factuur TMT1047204696"
"20250127";"SIMYO";"";"NL83INGB0009174216";"";"Af";"8";"";"Simyo:X9928374656, FACTUURNUMMER:X9928374657"
"20250127";"GBLT";"";"NL82DEUT0019804615";"";"Af";"31,5";"";"GBLT incasso maandelijkse termijn Termijn 6 van 10 Vervaldatum 27 jan 2025 Kenmerk X9928374658 Heffingjaar 2024"
"20250127";"FIETSERSBOND";"";"NL59INGB0001451048";"";"Af";"5";"";"Contributie januari 2025"
"20250128";"Energiewacht Groep";"";"NL44RABO0019804615";"";"Af";"8,98";"";"Factuur VF10-250175134"
"20250128";"Eerste Twellose Toerclub";"";"NL09RABO0019804615";"";"Af";"60";"";"contributie 2025"
"20250128";"GroenLinks Contributies";"";"NL05TRIO0019804615";"";"Af";"25";"";"GroenLinks Lidmaatschap (01-jan-2025 tot 01-feb-2025)"
"20250128";"VITENS NV";"";"NL94INGB0000869000";"";"Af";"8";"";"Johan Termijnfactuur JAN"
"20250128";"BOLCOM BV";"";"NL27INGB0001392934";"";"Bij";"32,95";"";"Artikel geretourneerd voor factuur X9928374659"
"20250129";"Kruidvat 6189 >ZEELAND 29.01.2";"";"";"";"Af";"4,97";"";""
"20250129";"Fletcher Uden Veghel >Uden 29.";"";"";"";"Af";"60";"";""
"20250130";"ASR HYPOTHEEK";"";"NL91ABNA0019804615";"";"Af";"895,23";"";"Termijnbetaling hypotheek. Kijk voor uw actuele saldo op: https://mijnhypotheek.asr.nl. PERIODE 01-2025"
"20250130";"CM.*PKB Baarle-Nassau >BAARLE ";"";"";"";"Af";"36,9";"";""
"20250131";"ALEC BIKESTORE >HEVERLEE 31.01";"";"";"";"Af";"39,8";"";""
"20250131";"Spar Heverlee >Heverlee 31.01.";"";"";"";"Af";"8,68";"";""
"20250201";"CM.*Karakter Tilburg V>TILBURG";"";"";"";"Af";"17,3";"";""
"20250201";"Fletcher Uden Veghel >Uden 1.0";"";"";"";"Af";"40,5";"";""
"20250202";"bol.com";"";"NL27INGB0001392934";"";"Af";"45,95";"";"X9928374660 7051315495805001 bol.com A0-00-34-J7-3K"
"20250203";"ABP Pensio";"";"NL68RABO0018166535";"";"Bij";"685,02";"";"PENSIOEN FEBRUARI 2025"
"20250203";"Brand New Day";"";"NL70BNDA0013929458";"";"Bij";"276,98";"";"Netto uitkering januari 2025 NL70BNDA0013929458"
"20250204";"bol.com";"";"NL27INGB0001392934";"";"Af";"47,95";"";"X9928374661 7051116392648677 bol.com A0-00-35-JD-TH"
"20250204";"Jumbo Deventer >DEVENTER 4.02.";"";"";"";"Af";"63,89";"";""
"20250204";"Plein.NL via Stichting Mollie Payments";"";"NL51DEUT0016877995";"";"Af";"36,45";"";"X9928374662 X9928374663 22157866 plein.nl Plein.NL"
"20250205";"NVO Online";"";"NL35RABO0019804615";"";"Af";"39,95";"";"X9928374664 X9928374665 allesb rvgMObcN3sFPbkXAWBeqeW1TN"
"20250206";"GREENCHOICE";"";"NL18INGB0001901816";"";"Af";"75";"";"Johan van 01 februari 2025"
"20250209";"Jumbo Deventer >DEVENTER 9.02.";"";"";"";"Af";"33,17";"";""
"20250210";"NS GROEP IZ NS REIZIGERS";"";"NL14ABNA0019804615";"";"Af";"4,65";"";"Factuur: X9928374666"
"20250213";"Jumbo Deventer >DEVENTER 13.02";"";"";"";"Af";"47,42";"";""
"20250214";"BOLCOM BV";"";"NL27INGB0001392934";"";"Bij";"45,95";"";"Artikel geretourneerd voor factuur X9928374667"
"20250215";"bol.com";"";"NL27INGB0001392934";"";"Af";"54,95";"";"X9928374668 7051484592374573 bol.com A0003E7CFU"
"20250216";"Jumbo Deventer >DEVENTER 16.02";"";"";"";"Af";"24,18";"";""
"20250218";"Albert Heijn 1440 >DEVENTER 18";"";"";"";"Af";"20,23";"";""
"20250219";"De Voordeelmarkt >DEVENTER 19.";"";"";"";"Af";"10,4";"";""
"20250220";"bol.com";"";"NL27INGB0001392934";"";"Af";"43,83";"";"X9928374669 7051336680391715 bol.com A0003JRCXC"
"20250221";"Jumbo Deventer >DEVENTER 21.02";"";"";"";"Af";"45,29";"";""
"20250223";"CCV*Eethuis Halte Asse>HOOG SO";"";"";"";"Af";"15,15";"";""
"20250224";"Sociale Verzekeringsbank";"";"NL16RABO0019973114";"";"Bij";"1214,77";"";"AOW     FEB 25 VZ09443330 WWW.SVB.NL                                              SVB"
"20250224";"ODIDO NETHERLANDS B.V.";"";"NL95COBA0019997218";"";"Af";"46,44";"";"Odido Internet + TV MFT42362 Factuur TMT1048158562"
"20250224";"PayPal Europe S.a.r.l. et Cie S.C.A";"";"LU89751000135104200E";"";"Af";"5";"";"1040401778274/PAYPAL"
"20250224";"Action 1132 >Deventer 24.02.20";"";"";"";"Af";"1,49";"";""
"20250225";"Kosten gebruik betaalrekening ";"";"";"";"Af";"3,2";"";""
"20250225";"SIMYO";"";"NL83INGB0009174216";"";"Af";"8,69";"";"Simyo:X9928374670, FACTUURNUMMER:X9928374671"
"20250225";"CCV*Spaansloos t.h.o.d>DEVENTE";"";"";"";"Af";"18,25";"";""
"20250225";"VITENS NV";"";"NL94INGB0000869000";"";"Af";"8";"";"Johan Termijnfactuur FEB"
"20250226";"Jumbo Deventer >DEVENTER 26.02";"";"";"";"Af";"50,5";"";""
"20250226";"Kruidvat 7614 >DEVENTER 26.02.";"";"";"";"Af";"11,69";"";""
"20250226";"GBLT";"";"NL82DEUT0019804615";"";"Af";"31,5";"";"GBLT incasso maandelijkse termijn Termijn 7 van 10 Vervaldatum 26 feb 2025 Kenmerk X9928374672 Heffingjaar 2024"
"20250227";"ASR HYPOTHEEK";"";"NL91ABNA0019804615";"";"Af";"894,95";"";"Termijnbetaling hypotheek. Kijk voor uw actuele saldo op: https://mijnhypotheek.asr.nl. PERIODE 02-2025"
"20250227";"FIETSERSBOND";"";"NL59INGB0001451048";"";"Af";"5";"";"Contributie februari 2025"
"20250228";"GroenLinks Contributies";"";"NL05TRIO0019804615";"";"Af";"25";"";"GroenLinks Lidmaatschap (01-feb-2025 tot 01-mrt-2025)"
"20250228";"Energiewacht Groep";"";"NL44RABO0019804615";"";"Af";"8,98";"";"Factuur VF10-250387955"
"20250228";"Jumbo Deventer >DEVENTER 28.02";"";"";"";"Af";"47,42";"";""
"20250228";"Amnesty International";"";"NL56DEUT0019804615";"";"Af";"60";"";"QRa5RVk0000009oDh00vVk000009EuEOIA0 X9928374673 Bedankt voor uw bijdrage"
"20250301";"ALBERT HEIJN 1440 >DEVENTER 1.";"";"";"";"Af";"20,3";"";""
"20250302";"Mantel";"";"NL04ADYB2031076332";"";"Af";"97,75";"";"ZMXPQTQVTWS2SBF62LUT0 X9928374674 Mantel X9928374675 Bestelling"
"20250303";"ABP Pensio";"";"NL68RABO0018166535";"";"Bij";"685,02";"";"PENSIOEN MAART 2025"
"20250303";"Brand New Day";"";"NL70BNDA0013929458";"";"Bij";"276,98";"";"Netto uitkering februari 2025 NL70BNDA0013929458"
"20250303";"CCV*Chez Antoinette >DEVENTER ";"";"";"";"Af";"108";"";""
"20250303";"Jumbo Deventer >DEVENTER 3.03.";"";"";"";"Af";"20,48";"";""
"20250304";"bol.com";"";"NL27INGB0001392934";"";"Af";"29,9";"";"X9928374676 7051865192175466 bol.com A0003K45RN"
"20250304";"NVVE, NL Vereniging voor eenVrijwillig Levenseinde";"";"NL70INGB0006335188";"";"Af";"28";"";"X9928374677 25-02-25 t/m 24-02-26 ,F25-017513"
"20250304";"Rakuten Kobo";"";"IE30CITI99005132956548";"";"Af";"14,99";"";"RAKUTEN KOBO INC"
"20250306";"GREENCHOICE";"";"NL18INGB0001901816";"";"Af";"75";"";"Johan van 01 maart 2025"
"20250307";"Jumbo Deventer >DEVENTER 7.03.";"";"";"";"Af";"50,2";"";""
"20250308";"Jumbo Deventer >DEVENTER 8.03.";"";"";"";"Af";"54,71";"";""
"20250308";"Grand Cafe Audreys >Brummen 8.";"";"";"";"Af";"24,8";"";""
"20250309";"Buitengewoon Lekker >Nijverdal";"";"";"";"Af";"22,5";"";""
"20250312";"Jumbo Deventer >DEVENTER 12.03";"";"";"";"Af";"25,95";"";""
"20250315";"Jumbo Deventer >DEVENTER 15.03";"";"";"";"Af";"39,38";"";""
"20250316";"Grand Cafe Het Oude St>DALFSEN";"";"";"";"Af";"20";"";""
"20250317";"THE MATRIX.ORG FOUNDATION C.I.C";"";"NL58CITI2032329913";"";"Af";"0,01";"";"NEPWGFJ X9928374678 Matrix.org"
"20250317";"Stripe Payments UK Ltd";"";"DK9189000000010241";"";"Bij";"0,01";"";"REFUND FROM THE MATRIX.ORG F P2O2M3"
"20250318";"Stichting ReumaNederland via CM.com";"";"NL54DEUT0019804615";"";"Af";"5";"";"LegitimatieALG25 X9928374679 Donatie ReumaNederland Stichting ReumaNederland"
"20250318";"KATO Group B.V.";"";"NL56DEUT0019804615";"";"Af";"169";"";"X9928374680 X9928374681 X9928374680"
"20250319";"Jumbo Deventer >DEVENTER 19.03";"";"";"";"Af";"37,27";"";""
"20250319";"NS Internationaal B.V.";"";"NL56DEUT0019804615";"";"Af";"17,4";"";"X9928374682 X9928374683 DNR: RDVWXBL"
"20250319";"Een Waardig Levenseinde via Stichting Mollie Payments";"";"NL51DEUT0016877995";"";"Af";"9,9";"";"X9928374684 X9928374685 Order X9928374686 boudewijnchabot.org Een Waardig Levenseinde"
"20250321";"THE MATRIX.ORG FOUNDATION C.I.C";"";"IE30CITI99005132956548";"";"Af";"5";"";"Matrix.org"
"20250321";"STICHTING DERDENGELDEN BUCKAROO";"";"NL06DEUT0019804615";"";"Bij";"17,4";"";"DNR: RDVWXBL - NS International - BuckID: P1WVZ7UPTVRRKRAIT7PK"
"20250323";"Apple Services";"";"NL04ADYB2031076332";"";"Af";"10";"";"NP2NQLV8F3FS6QZ32FS56 X9928374687 ML0HJ5JXQ2a0 https://apple.co/b"
"20250323";"Jumbo Deventer >DEVENTER 23.03";"";"";"";"Af";"33,42";"";""
"20250323";"De Fietsvakantiewinkel B.V.";"";"NL56DEUT0019804615";"";"Af";"88,5";"";"X9928374688 X9928374689 Fietsvakantiewinkel"
"20250323";"Mantel";"";"NL04ADYB2031076332";"";"Af";"74,9";"";"MVZ4BDRTTD53R8F32LUT0 X9928374690 Mantel X9928374691 Bestelling"
"20250324";"Sociale Verzekeringsbank";"";"NL16RABO0019973114";"";"Bij";"1214,77";"";"AOW     MRT 25 VZ09443330 WWW.SVB.NL                                              SVB"
"20250325";"Kosten gebruik betaalrekening ";"";"";"";"Af";"3,2";"";""
"20250325";"Reg.BelastingSamenwerking";"";"NL47BNGH0019804615";"";"Af";"74,7";"";"Aanslag: 202500003002000 , Gecomb.bel.jaren 2024/2025 , Vervaldatum termijn: 31.03.2025"
"20250325";"Albert Heijn 1501 >AMERSFOOR25";"";"";"";"Af";"2,29";"";""
"20250325";"VITENS NV";"";"NL94INGB0000869000";"";"Af";"8";"";"Factuurnr X9928374692,Johan Termijnfactuur MRT"
"20250326";"GBLT";"";"NL82DEUT0019804615";"";"Af";"31,49";"";"GBLT incasso maandelijkse termijn Termijn 8 van 10 Vervaldatum 26 mrt 2025 Kenmerk X9928374693 Heffingjaar 2024"
"20250326";"ODIDO NETHERLANDS B.V.";"";"NL95COBA0019997218";"";"Af";"46,44";"";"Odido Internet + TV MFT42362 Factuur TMT1049125647"
"20250326";"SIMYO";"";"NL83INGB0009174216";"";"Af";"8";"";"Simyo:X9928374694, FACTUURNUMMER:X9928374695"
"20250327";"FIETSERSBOND";"";"NL59INGB0001451048";"";"Af";"5";"";"Contributie maart 2025"
"20250327";"Jumbo Deventer >DEVENTER 27.03";"";"";"";"Af";"39,26";"";""
"20250327";"Ubiquiti Store Europe";"";"NL58CITI2032329913";"";"Af";"690,06";"";"ERUGWUU X9928374696 EU.STORE.UI.COM"
"20250328";"ASR HYPOTHEEK";"";"NL91ABNA0019804615";"";"Af";"894,95";"";"Termijnbetaling hypotheek. Kijk voor uw actuele saldo op: https://mijnhypotheek.asr.nl. PERIODE 03-2025"
"20250328";"Energiewacht B.V.";"";"NL44RABO0019804615";"";"Af";"8,98";"";"Factuur VF10-250592363"
"20250328";"GroenLinks Contributies";"";"NL05TRIO0019804615";"";"Af";"25";"";"GroenLinks Lidmaatschap (01-mrt-2025 tot 01-apr-2025)"
"20250329";"Albert Heijn 1440 >DEVENTER 29";"";"";"";"Af";"9,57";"";""
"20250330";"de Vossenberg >Vierhoute30.03.";"";"";"";"Af";"32,2";"";""
"20250330";"Netflix.com";"";"NL92INGB0005302809";"";"Af";"8,99";"";"X9928374697 X9928374698 NETFLIX"
"20250401";"ABP Pensio";"";"NL68RABO0018166535";"";"Bij";"703,82";"";"PENSIOEN APRIL 2025"
"20250401";"Brand New Day";"";"NL70BNDA0013929458";"";"Bij";"276,98";"";"Netto uitkering maart 2025 NL70BNDA0013929458"
"20250402";"BCK*Kledingherstel Kei>DEVENTE";"";"";"";"Af";"3,5";"";""
"20250402";"Action 1132 >Deventer 2.04.202";"";"";"";"Af";"1,49";"";""
"20250402";"Jumbo Deventer >DEVENTER 2.04.";"";"";"";"Af";"26,89";"";""
"20250404";"FUTURUMSHOP.NL B.V.";"";"NL04ADYB2031076332";"";"Af";"129,99";"";"D28QH8RFTJQSKGF32LUSW X9928374699 X9928374700x"
"20250404";"KARWEI DEVENTER >DEVENTER 4.04";"";"";"";"Af";"46,14";"";""
"20250405";"Jumbo Deventer >DEVENTER 5.04.";"";"";"";"Af";"32,68";"";""
"20250406";"CCV*Eethuis Halte Asse>HOOG SO";"";"";"";"Af";"12,8";"";""
"20250406";"CCV*Eethuis Halte Asse>HOOG SO";"";"";"";"Af";"6,8";"";""
"20250406";"Staatsbosbeheer via Stichting Mollie Payments";"";"NL51DEUT0016877995";"";"Af";"47,55";"";"X9928374701 X9928374702 Reservering X9928374703 Staatsbosbeheer"
"20250406";"HartWerk B.V. via Stichting Mollie Payments";"";"NL51DEUT0016877995";"";"Af";"29";"";"X9928374704 X9928374705 Reservering X9928374706 HartWerk B.V."
"20250406";"Telco Accessories B.V. via Stripe Technology Europe Ltd";"";"DE23202208000094830836";"";"Af";"139,42";"";"71UT098 X9928374707 SP XTORM Telco Accessories B.V."
"20250407";"HEMA EV050DEVENTER >DEVENTER 7";"";"";"";"Af";"4,97";"";""
"20250407";"GREENCHOICE";"";"NL18INGB0001901816";"";"Af";"75";"";"Johan Notanumber GC0109808650 van 01 april 2025"
"20250408";"CCV*VOF MARTENS >APELDOORN 8.0";"";"";"";"Af";"42,86";"";""
"20250409";"Jumbo Deventer >DEVENTER 9.04.";"";"";"";"Af";"6,58";"";""
